document_id,passage_count,original_mean,shuffled_mean,original_actor_overlap_proportion,shuffled_actor_overlap_proportion
001-145564,94,0.5476577403324265,0.31920051757766993,1.0,0.9052584670231729
001-145741,96,0.5398277268597954,0.40798139907419684,0.8333333333333334,0.6867588932806324
001-146565,65,0.5695654386654496,0.4426252949866466,0.8181818181818182,0.6164285714285714
001-147117,161,0.5873180001974105,0.4239717667748482,0.96,0.371131221719457
001-147601,48,0.5147643472920073,0.400686414642854,0.875,0.776923076923077
001-147681,56,0.6034496366977692,0.5102824573083358,0.8888888888888888,0.8158730158730159
001-148268,114,0.5640636828884614,0.4266351232214509,0.8518518518518519,0.6439544159544159
001-148629,139,0.6097565420187901,0.4188668818759692,0.9387755102040817,0.47513784461152875
001-150800,34,0.56189294972203,0.4070933108076904,0.7777777777777778,0.3885281385281385
001-151051,125,0.570905527640735,0.45777694347404657,0.925,0.5620397146712937
001-152598,92,0.5593696365972142,0.43069535568356515,0.717948717948718,0.7652347781217751
001-152647,63,0.534973336323615,0.4232109563965952,0.896551724137931,0.5623987287222582
001-152731,95,0.5860749701870248,0.4426581557602325,0.8666666666666667,0.4432900432900433
001-156261,93,0.6144516757972862,0.46485052801182736,0.8461538461538461,0.48888888888888893
001-156271,63,0.5878715094539427,0.43916282896553316,0.8636363636363636,0.6357142857142857
001-156273,84,0.602409790797406,0.4128052233662232,0.9090909090909091,0.8375942684766216
001-156388,102,0.6144327913770581,0.4583077871793936,0.9183673469387755,0.7679362505449462
001-156518,194,0.5529400497829359,0.3807867761493849,0.84,0.4809523809523809
001-157531,93,0.5759844724898753,0.4428776148483967,0.8709677419354839,0.419003219003219
001-158290,355,0.6065461807542265,0.43461183627230754,0.9518072289156626,0.38393162393162394
001-158861,181,0.5496906475888358,0.348878138489866,0.9693877551020408,0.5033307311995836
001-159782,151,0.6544298491875331,0.5352036223908265,0.9518072289156626,0.6638002334685608
001-159880,90,0.5607523412516947,0.4289895290906509,0.7619047619047619,0.6588699020277967
001-160020,219,0.5836880014987167,0.45364286659986053,0.9152542372881356,0.6995272271588061
001-160313,115,0.5674472883866545,0.41255626805257384,0.8958333333333334,0.5680952380952381
001-161380,68,0.6158176071163434,0.45963876945758936,0.8571428571428571,0.7516666666666667
001-161733,60,0.5822811980368727,0.4310373271168288,0.896551724137931,0.5996288515406162
001-161760,128,0.6142045400274081,0.437862859681014,0.8983050847457628,0.5240379971617294
001-162213,51,0.5770303416252136,0.4391379175484181,0.8695652173913043,0.6166666666666667
001-162704,112,0.5372920296750627,0.4080275932788379,0.8148148148148148,0.6594234628717388
001-163661,64,0.5386404021391793,0.43988209761797437,0.7586206896551724,0.5440350877192983
001-164917,93,0.6277780717481738,0.5120116094370252,0.9142857142857143,0.7194139194139193
001-166958,61,0.5609077510734399,0.47066661727925146,0.9230769230769231,0.686060606060606
001-166963,62,0.624371309260853,0.5365606242516001,0.85,0.671947496947497
001-167557,54,0.608449933663854,0.4475900622752477,0.8333333333333334,0.7337240537240537
001-167797,33,0.496121883392334,0.402961655985564,0.9166666666666666,0.7333333333333333
001-167801,43,0.57599885619822,0.4396497004266296,0.9473684210526315,0.8527777777777779
001-168377,58,0.6163721246677533,0.4563155454661077,0.9090909090909091,0.525952380952381
001-169661,50,0.558138869246658,0.4240850538927681,0.7857142857142857,0.5442857142857143
001-169662,201,0.5668660360202193,0.37444185443127936,0.9259259259259259,0.2741847041847042
001-170362,118,0.634544962619105,0.5206333262543394,0.8333333333333334,0.825
001-170456,95,0.5971384955213425,0.47045509647181694,0.9615384615384616,0.6880952380952381
001-170462,114,0.5654819355865496,0.3993666002971936,0.75,0.75
001-172073,35,0.5805180012522375,0.4228050747941084,0.8461538461538461,0.6433333333333333
001-172077,143,0.574618208208974,0.4350619092531187,0.85,0.43885281385281394
